,0,1,2,3
0,2.0,0.0,1536.0,2049.0
1,5.0,1.0,2048.0,2052.0
2,6.0,3.0,2050.0,2054.0
3,7.0,4.0,2051.0,2056.0
4,8.0,13.0,1541.0,2057.0
5,9.0,14.0,1549.0,2059.0
6,10.0,15.0,2065.0,2061.0
7,11.0,16.0,1556.0,2062.0
8,12.0,18.0,2068.0,2063.0
9,2058.0,19.0,535.0,2064.0
10,17.0,20.0,1559.0,4111.0
11,22.0,21.0,538.0,2066.0
12,24.0,23.0,2074.0,2067.0
13,25.0,29.0,2083.0,4112.0
14,26.0,34.0,2088.0,2069.0
15,27.0,39.0,2089.0,2070.0
16,28.0,41.0,2091.0,2071.0
17,2073.0,45.0,1580.0,2075.0
18,30.0,47.0,1581.0,2077.0
19,31.0,50.0,1582.0,2078.0
20,32.0,57.0,2093.0,2079.0
21,33.0,66.0,1584.0,2081.0
22,4125.0,67.0,52.0,2084.0
23,35.0,70.0,2614.0,2086.0
24,36.0,72.0,2104.0,2090.0
25,37.0,76.0,1600.0,2092.0
26,38.0,83.0,2114.0,2094.0
27,4135.0,86.0,1606.0,2096.0
28,40.0,93.0,1607.0,49.0
29,4136.0,95.0,2119.0,2097.0
30,42.0,96.0,2120.0,2100.0
31,43.0,97.0,588.0,2103.0
32,44.0,99.0,1613.0,2105.0
33,46.0,104.0,78.0,2106.0
34,48.0,111.0,1615.0,2107.0
35,51.0,112.0,2124.0,2108.0
36,2099.0,117.0,2127.0,61.0
37,53.0,121.0,82.0,2109.0
38,54.0,125.0,2129.0,2110.0
39,55.0,128.0,596.0,64.0
40,56.0,135.0,2645.0,2111.0
41,2101.0,137.0,1622.0,2112.0
42,58.0,152.0,2650.0,2113.0
43,59.0,153.0,1629.0,68.0
44,60.0,158.0,2141.0,2115.0
45,4149.0,162.0,2654.0,2116.0
46,62.0,163.0,2144.0,2117.0
47,63.0,164.0,2655.0,2118.0
48,4152.0,165.0,2660.0,2121.0
49,65.0,170.0,2149.0,2122.0
50,4155.0,177.0,2662.0,75.0
51,4160.0,182.0,106.0,2123.0
52,4162.0,184.0,1642.0,77.0
53,69.0,187.0,1643.0,2125.0
54,71.0,188.0,2671.0,79.0
55,73.0,212.0,1649.0,2128.0
56,74.0,214.0,1655.0,2130.0
57,80.0,219.0,124.0,2131.0
58,81.0,220.0,131.0,2132.0
59,84.0,222.0,1669.0,2133.0
60,85.0,223.0,1672.0,2134.0
61,87.0,225.0,1674.0,2135.0
62,88.0,233.0,1677.0,2136.0
63,89.0,240.0,1678.0,2137.0
64,90.0,252.0,1680.0,2138.0
65,91.0,257.0,1689.0,2139.0
66,92.0,262.0,1700.0,2140.0
67,4184.0,295.0,169.0,2142.0
68,94.0,304.0,1705.0,2143.0
69,4185.0,322.0,172.0,2145.0
70,4188.0,347.0,179.0,2146.0
71,4191.0,350.0,183.0,2147.0
72,98.0,354.0,1722.0,100.0
73,4196.0,357.0,197.0,2148.0
74,101.0,362.0,1741.0,126.0
75,102.0,365.0,1743.0,129.0
76,103.0,374.0,1234.0,134.0
77,2152.0,382.0,1748.0,166.0
78,105.0,386.0,727.0,167.0
79,4199.0,389.0,1239.0,171.0
80,107.0,403.0,1248.0,173.0
81,108.0,408.0,1249.0,178.0
82,109.0,419.0,1250.0,180.0
83,110.0,427.0,1258.0,181.0
84,2155.0,428.0,235.0,190.0
85,4200.0,450.0,1260.0,193.0
86,113.0,478.0,1265.0,194.0
87,114.0,499.0,242.0,196.0
88,115.0,502.0,1268.0,198.0
89,116.0,562.0,245.0,199.0
90,2161.0,570.0,1269.0,202.0
91,118.0,572.0,1270.0,203.0
92,119.0,578.0,1272.0,204.0
93,120.0,658.0,1789.0,205.0
94,2162.0,667.0,1790.0,206.0
95,122.0,671.0,1791.0,207.0
96,123.0,672.0,1796.0,208.0
97,2166.0,673.0,781.0,209.0
98,2170.0,674.0,783.0,2484.0
99,4214.0,677.0,273.0,211.0
100,127.0,678.0,279.0,215.0
101,2177.0,679.0,1820.0,217.0
102,130.0,680.0,803.0,226.0
103,132.0,681.0,824.0,228.0
104,133.0,682.0,4410.0,229.0
105,2180.0,683.0,318.0,230.0
106,2183.0,686.0,319.0,231.0
107,136.0,691.0,324.0,232.0
108,2184.0,697.0,837.0,236.0
109,138.0,699.0,1861.0,237.0
110,139.0,702.0,840.0,238.0
111,140.0,704.0,329.0,239.0
112,141.0,706.0,841.0,241.0
113,142.0,707.0,1353.0,243.0
114,143.0,708.0,1356.0,244.0
115,144.0,713.0,334.0,4340.0
116,145.0,715.0,335.0,247.0
117,146.0,718.0,336.0,248.0
118,147.0,719.0,846.0,249.0
119,148.0,722.0,850.0,250.0
120,149.0,723.0,341.0,251.0
121,150.0,724.0,855.0,253.0
122,151.0,725.0,857.0,254.0
123,2196.0,726.0,859.0,255.0
124,2198.0,729.0,863.0,256.0
125,154.0,730.0,1375.0,258.0
126,155.0,731.0,355.0,259.0
127,156.0,732.0,867.0,260.0
128,157.0,735.0,1384.0,263.0
129,2205.0,736.0,874.0,264.0
130,159.0,739.0,363.0,265.0
131,160.0,741.0,364.0,266.0
132,161.0,742.0,877.0,267.0
133,2206.0,743.0,367.0,268.0
134,2207.0,744.0,1391.0,269.0
135,2211.0,746.0,883.0,4367.0
136,4257.0,747.0,1398.0,272.0
137,4262.0,748.0,3961.0,274.0
138,2215.0,749.0,891.0,275.0
139,168.0,750.0,895.0,277.0
140,2216.0,752.0,906.0,278.0
141,4264.0,754.0,402.0,280.0
142,2219.0,755.0,919.0,281.0
143,2220.0,757.0,3995.0,282.0
144,4265.0,758.0,925.0,283.0
145,174.0,759.0,1949.0,284.0
146,175.0,760.0,928.0,286.0
147,176.0,761.0,933.0,287.0
148,4269.0,762.0,934.0,288.0
149,4271.0,763.0,2472.0,290.0
150,4273.0,764.0,938.0,291.0
151,2228.0,765.0,942.0,292.0
152,4276.0,767.0,2480.0,293.0
153,4278.0,768.0,945.0,294.0
154,4279.0,770.0,946.0,296.0
155,2232.0,774.0,1457.0,297.0
156,185.0,776.0,1458.0,298.0
157,186.0,777.0,2487.0,299.0
158,2235.0,778.0,952.0,301.0
159,2236.0,779.0,4023.0,302.0
160,189.0,780.0,954.0,303.0
161,2238.0,782.0,955.0,4399.0
162,191.0,785.0,956.0,305.0
163,192.0,786.0,959.0,306.0
164,2239.0,787.0,960.0,309.0
165,2240.0,789.0,1475.0,310.0
166,195.0,790.0,964.0,311.0
167,2242.0,791.0,967.0,312.0
168,2243.0,792.0,968.0,4408.0
169,2244.0,796.0,969.0,314.0
170,2247.0,797.0,970.0,315.0
171,200.0,799.0,971.0,316.0
172,201.0,800.0,1992.0,317.0
173,2250.0,801.0,974.0,320.0
174,4293.0,802.0,1998.0,321.0
175,4295.0,804.0,976.0,323.0
176,4297.0,808.0,977.0,325.0
177,2254.0,810.0,2007.0,326.0
178,4299.0,811.0,475.0,4423.0
179,4300.0,812.0,1499.0,328.0
180,4301.0,813.0,1501.0,330.0
181,210.0,814.0,2011.0,331.0
182,2258.0,816.0,1504.0,332.0
183,2259.0,817.0,1506.0,333.0
184,213.0,819.0,2019.0,4428.0
185,4302.0,820.0,2024.0,4429.0
186,2263.0,825.0,2025.0,337.0
187,216.0,826.0,492.0,338.0
188,4308.0,827.0,2031.0,339.0
189,218.0,828.0,2033.0,340.0
190,4309.0,829.0,2036.0,342.0
191,2268.0,831.0,4090.0,343.0
192,221.0,833.0,,344.0
193,2269.0,835.0,,345.0
194,2270.0,836.0,,346.0
195,224.0,838.0,,348.0
196,2271.0,842.0,,349.0
197,2274.0,843.0,,351.0
198,227.0,844.0,,352.0
199,4315.0,847.0,,353.0
200,2277.0,848.0,,356.0
201,2278.0,849.0,,358.0
202,4318.0,852.0,,359.0
203,2280.0,853.0,,360.0
204,2281.0,858.0,,361.0
205,234.0,860.0,,366.0
206,2282.0,861.0,,368.0
207,4325.0,862.0,,369.0
208,4326.0,865.0,,370.0
209,4334.0,868.0,,371.0
210,2287.0,870.0,,372.0
211,4335.0,871.0,,373.0
212,4336.0,872.0,,375.0
213,4337.0,875.0,,376.0
214,4339.0,876.0,,377.0
215,4341.0,879.0,,378.0
216,246.0,881.0,,379.0
217,4347.0,882.0,,380.0
218,4348.0,884.0,,381.0
219,2301.0,885.0,,383.0
220,2302.0,886.0,,384.0
221,2303.0,887.0,,385.0
222,2304.0,888.0,,387.0
223,4349.0,889.0,,388.0
224,2306.0,890.0,,390.0
225,4351.0,898.0,,391.0
226,2308.0,899.0,,392.0
227,261.0,900.0,,393.0
228,2309.0,901.0,,394.0
229,2311.0,902.0,,396.0
