,0,1,2
0,2049.0,2048.0,0.0
1,2052.0,2.0,1.0
2,2054.0,2050.0,3.0
3,8.0,2051.0,4.0
4,2056.0,2055.0,5.0
5,2057.0,12.0,6.0
6,2058.0,17.0,7.0
7,2059.0,2065.0,9.0
8,2061.0,2068.0,10.0
9,2062.0,25.0,11.0
10,2063.0,26.0,13.0
11,2064.0,27.0,14.0
12,4111.0,2074.0,15.0
13,2066.0,2083.0,16.0
14,2067.0,38.0,18.0
15,4112.0,2087.0,19.0
16,2069.0,40.0,20.0
17,2070.0,2088.0,21.0
18,2071.0,42.0,22.0
19,2073.0,43.0,23.0
20,2075.0,44.0,24.0
21,2077.0,2089.0,28.0
22,2078.0,46.0,29.0
23,2079.0,2091.0,30.0
24,2081.0,2093.0,31.0
25,36.0,51.0,32.0
26,2084.0,52.0,33.0
27,2086.0,2104.0,34.0
28,2090.0,58.0,35.0
29,2092.0,62.0,37.0
30,2094.0,63.0,39.0
31,2096.0,65.0,41.0
32,49.0,2114.0,45.0
33,2097.0,71.0,47.0
34,2100.0,2119.0,48.0
35,53.0,2120.0,50.0
36,2103.0,76.0,54.0
37,56.0,2124.0,55.0
38,2105.0,78.0,57.0
39,2106.0,80.0,59.0
40,2107.0,2129.0,66.0
41,60.0,82.0,67.0
42,61.0,84.0,69.0
43,2108.0,85.0,70.0
44,2109.0,89.0,72.0
45,64.0,91.0,74.0
46,2110.0,4188.0,83.0
47,2111.0,2141.0,86.0
48,2112.0,2144.0,93.0
49,68.0,98.0,95.0
50,2113.0,101.0,96.0
51,2115.0,102.0,97.0
52,2116.0,105.0,99.0
53,2117.0,106.0,104.0
54,73.0,107.0,111.0
55,2118.0,108.0,112.0
56,75.0,109.0,119.0
57,2121.0,114.0,120.0
58,77.0,115.0,121.0
59,2122.0,116.0,125.0
60,79.0,117.0,128.0
61,2123.0,123.0,135.0
62,81.0,124.0,137.0
63,2125.0,127.0,152.0
64,2127.0,130.0,153.0
65,2128.0,131.0,158.0
66,2130.0,4228.0,160.0
67,2131.0,136.0,162.0
68,87.0,139.0,163.0
69,88.0,141.0,164.0
70,2132.0,142.0,165.0
71,90.0,147.0,170.0
72,2133.0,149.0,174.0
73,92.0,150.0,177.0
74,2134.0,155.0,182.0
75,94.0,157.0,187.0
76,2135.0,161.0,189.0
77,2136.0,169.0,214.0
78,2137.0,172.0,218.0
79,2138.0,179.0,219.0
80,2139.0,183.0,220.0
81,100.0,184.0,222.0
82,2140.0,185.0,223.0
83,2142.0,188.0,225.0
84,103.0,2239.0,233.0
85,2143.0,197.0,235.0
86,2145.0,4295.0,240.0
87,2146.0,4297.0,242.0
88,2147.0,2254.0,257.0
89,2148.0,4302.0,262.0
90,2149.0,212.0,287.0
91,110.0,213.0,289.0
92,113.0,216.0,295.0
93,118.0,4315.0,304.0
94,4214.0,4336.0,308.0
95,122.0,245.0,347.0
96,126.0,246.0,350.0
97,129.0,252.0,354.0
98,132.0,2312.0,357.0
99,133.0,4365.0,362.0
100,134.0,271.0,365.0
101,138.0,279.0,374.0
102,140.0,4378.0,382.0
103,143.0,4379.0,389.0
104,144.0,4410.0,403.0
105,145.0,318.0,408.0
106,146.0,319.0,419.0
107,148.0,322.0,427.0
108,151.0,324.0,428.0
109,154.0,329.0,445.0
110,156.0,2378.0,450.0
111,159.0,4429.0,475.0
112,4257.0,4430.0,478.0
113,166.0,335.0,499.0
114,167.0,336.0,502.0
115,168.0,341.0,535.0
116,171.0,363.0,538.0
117,173.0,364.0,562.0
118,175.0,2412.0,570.0
119,176.0,367.0,572.0
120,178.0,386.0,578.0
121,180.0,2434.0,658.0
122,181.0,402.0,667.0
123,186.0,2457.0,671.0
124,190.0,2472.0,672.0
125,191.0,2480.0,673.0
126,192.0,2487.0,674.0
127,193.0,2520.0,675.0
128,194.0,2540.0,676.0
129,195.0,505.0,677.0
130,196.0,2602.0,678.0
131,198.0,2614.0,679.0
132,199.0,2615.0,680.0
133,200.0,2626.0,681.0
134,201.0,2634.0,682.0
135,202.0,588.0,683.0
136,203.0,2637.0,684.0
137,204.0,2640.0,685.0
138,205.0,2645.0,686.0
139,206.0,2649.0,687.0
140,207.0,2650.0,688.0
141,208.0,4699.0,689.0
142,209.0,2654.0,691.0
143,210.0,2655.0,692.0
144,211.0,2660.0,693.0
145,4299.0,2671.0,694.0
146,215.0,690.0,695.0
147,217.0,716.0,696.0
148,221.0,727.0,697.0
149,224.0,737.0,698.0
150,4320.0,740.0,699.0
151,226.0,745.0,700.0
152,227.0,753.0,701.0
