,0,1,2
0,2.0,0.0,2048.0
1,2052.0,1.0,2049.0
2,7.0,3.0,2050.0
3,8.0,4.0,2051.0
4,2056.0,5.0,2053.0
5,10.0,6.0,2054.0
6,2058.0,9.0,2055.0
7,12.0,11.0,2057.0
8,2059.0,13.0,2060.0
9,17.0,14.0,2061.0
10,22.0,15.0,2062.0
11,24.0,16.0,2063.0
12,25.0,18.0,2064.0
13,26.0,19.0,2065.0
14,27.0,20.0,2066.0
15,28.0,21.0,2067.0
16,2073.0,23.0,2068.0
17,30.0,29.0,2069.0
18,31.0,34.0,2070.0
19,32.0,39.0,2071.0
20,33.0,41.0,4111.0
21,2078.0,45.0,4112.0
22,35.0,47.0,2074.0
23,36.0,50.0,2075.0
24,37.0,57.0,2077.0
25,38.0,59.0,2079.0
26,2081.0,66.0,2082.0
27,40.0,67.0,2083.0
28,2084.0,72.0,2086.0
29,42.0,83.0,2087.0
30,43.0,86.0,2088.0
31,44.0,95.0,2089.0
32,4135.0,96.0,2090.0
33,46.0,97.0,2091.0
34,4136.0,99.0,2092.0
35,48.0,104.0,2093.0
36,49.0,111.0,2094.0
37,51.0,112.0,2096.0
38,2099.0,121.0,2097.0
39,53.0,125.0,2098.0
40,54.0,128.0,52.0
41,55.0,137.0,2100.0
42,56.0,152.0,2102.0
43,2101.0,153.0,2104.0
44,58.0,158.0,2106.0
45,2103.0,163.0,2107.0
46,60.0,165.0,2108.0
47,61.0,170.0,2110.0
48,62.0,177.0,2111.0
49,63.0,187.0,64.0
50,2105.0,214.0,2112.0
51,65.0,219.0,2113.0
52,2109.0,220.0,2114.0
53,4155.0,222.0,68.0
54,69.0,223.0,2115.0
55,71.0,225.0,70.0
56,73.0,233.0,2116.0
57,74.0,235.0,2117.0
58,79.0,240.0,2118.0
59,80.0,242.0,2119.0
60,81.0,255.0,75.0
61,84.0,287.0,76.0
62,87.0,295.0,77.0
63,88.0,304.0,78.0
64,89.0,347.0,2120.0
65,90.0,354.0,2121.0
66,91.0,357.0,2122.0
67,92.0,362.0,82.0
68,4185.0,365.0,2123.0
69,94.0,374.0,2124.0
70,4188.0,382.0,85.0
71,4191.0,389.0,2125.0
72,100.0,403.0,2127.0
73,101.0,408.0,2128.0
74,102.0,419.0,2129.0
75,103.0,427.0,2130.0
76,4196.0,428.0,2131.0
77,105.0,445.0,2132.0
78,106.0,450.0,93.0
79,107.0,470.0,2133.0
80,108.0,478.0,2134.0
81,109.0,499.0,2135.0
82,110.0,502.0,2136.0
83,2155.0,503.0,98.0
84,4199.0,562.0,2138.0
85,113.0,570.0,2139.0
86,114.0,572.0,2140.0
87,115.0,578.0,2141.0
88,116.0,658.0,2142.0
89,2162.0,667.0,2143.0
90,118.0,671.0,2144.0
91,2166.0,672.0,2145.0
92,120.0,673.0,2146.0
93,4214.0,674.0,2147.0
94,122.0,677.0,2148.0
95,123.0,678.0,2149.0
96,127.0,679.0,117.0
97,2177.0,680.0,119.0
98,130.0,681.0,124.0
99,132.0,682.0,126.0
100,133.0,683.0,129.0
101,2180.0,686.0,131.0
102,4228.0,691.0,134.0
103,136.0,697.0,135.0
104,2184.0,699.0,162.0
105,138.0,702.0,164.0
106,139.0,703.0,166.0
107,140.0,704.0,169.0
108,141.0,706.0,172.0
109,142.0,707.0,179.0
110,143.0,708.0,181.0
111,144.0,713.0,182.0
112,145.0,715.0,183.0
113,146.0,718.0,184.0
114,147.0,719.0,188.0
115,148.0,722.0,190.0
116,149.0,723.0,197.0
117,150.0,724.0,199.0
118,151.0,725.0,203.0
119,2196.0,726.0,204.0
120,4245.0,729.0,207.0
121,154.0,730.0,208.0
122,155.0,731.0,212.0
123,156.0,732.0,215.0
124,157.0,734.0,226.0
125,2205.0,735.0,229.0
126,159.0,739.0,236.0
127,160.0,742.0,237.0
128,161.0,743.0,245.0
129,2206.0,744.0,247.0
130,2207.0,746.0,250.0
131,2211.0,747.0,252.0
132,4257.0,748.0,254.0
133,167.0,749.0,257.0
134,168.0,750.0,258.0
135,2216.0,757.0,259.0
136,4264.0,758.0,4359.0
137,171.0,759.0,267.0
138,2219.0,760.0,269.0
139,173.0,762.0,273.0
140,174.0,763.0,275.0
141,175.0,764.0,279.0
142,176.0,765.0,280.0
143,2220.0,767.0,281.0
144,178.0,768.0,284.0
145,4271.0,774.0,288.0
146,180.0,777.0,292.0
147,4273.0,778.0,293.0
148,4276.0,779.0,294.0
149,4278.0,785.0,296.0
150,2232.0,786.0,301.0
151,185.0,787.0,306.0
152,186.0,789.0,309.0
153,2235.0,790.0,310.0
154,4284.0,791.0,311.0
155,189.0,797.0,4408.0
156,2238.0,800.0,314.0
157,191.0,801.0,4410.0
158,192.0,802.0,316.0
159,193.0,809.0,317.0
160,194.0,811.0,318.0
161,195.0,813.0,319.0
162,196.0,814.0,320.0
163,2239.0,817.0,322.0
164,198.0,826.0,324.0
165,2240.0,827.0,325.0
166,200.0,828.0,326.0
167,201.0,829.0,328.0
168,202.0,831.0,329.0
169,2242.0,834.0,331.0
170,2243.0,835.0,332.0
171,205.0,838.0,333.0
172,206.0,842.0,334.0
173,2247.0,844.0,335.0
174,2254.0,849.0,336.0
175,209.0,852.0,4430.0
176,210.0,858.0,338.0
177,211.0,861.0,339.0
178,2258.0,862.0,340.0
179,213.0,864.0,341.0
180,2259.0,865.0,342.0
181,2263.0,870.0,343.0
182,216.0,872.0,344.0
183,217.0,881.0,346.0
184,218.0,882.0,348.0
185,4310.0,884.0,349.0
186,2268.0,886.0,350.0
187,221.0,887.0,352.0
188,4312.0,889.0,353.0
189,2271.0,890.0,355.0
190,224.0,898.0,358.0
191,4315.0,901.0,359.0
192,2274.0,902.0,360.0
193,227.0,903.0,361.0
194,228.0,907.0,363.0
195,2277.0,910.0,364.0
196,230.0,913.0,366.0
197,231.0,914.0,367.0
198,232.0,916.0,368.0
199,2278.0,920.0,370.0
200,234.0,921.0,371.0
201,2280.0,924.0,372.0
202,2281.0,927.0,375.0
203,2282.0,929.0,376.0
204,238.0,936.0,377.0
205,239.0,941.0,379.0
206,2287.0,943.0,380.0
207,241.0,944.0,381.0
208,4335.0,951.0,383.0
209,243.0,963.0,385.0
210,244.0,975.0,386.0
211,4336.0,978.0,387.0
212,246.0,979.0,388.0
213,4337.0,980.0,390.0
214,248.0,981.0,392.0
215,249.0,982.0,393.0
216,4339.0,983.0,396.0
217,251.0,984.0,397.0
218,4341.0,985.0,398.0
219,253.0,986.0,399.0
220,2302.0,987.0,400.0
221,2303.0,988.0,401.0
222,256.0,989.0,402.0
223,2304.0,990.0,404.0
224,4347.0,991.0,405.0
225,4352.0,992.0,406.0
226,260.0,993.0,407.0
227,261.0,994.0,2453.0
228,262.0,995.0,409.0
229,263.0,996.0,411.0
230,264.0,997.0,412.0
231,265.0,998.0,413.0
232,266.0,999.0,415.0
233,2309.0,1000.0,416.0
234,268.0,1001.0,420.0
235,2311.0,1002.0,421.0
236,270.0,1003.0,423.0
237,271.0,1004.0,424.0
238,272.0,1005.0,425.0
239,2312.0,1006.0,2472.0
240,274.0,1007.0,2474.0
241,2316.0,1008.0,2475.0
242,276.0,1009.0,429.0
243,277.0,1010.0,430.0
244,278.0,1011.0,431.0
245,2327.0,1012.0,432.0
246,4125.0,1013.0,2480.0
247,4372.0,1014.0,434.0
248,282.0,1015.0,435.0
249,283.0,1016.0,436.0
250,2331.0,1017.0,437.0
251,285.0,1018.0,438.0
252,286.0,1019.0,2484.0
253,2332.0,1020.0,441.0
254,4378.0,1021.0,442.0
255,289.0,1022.0,443.0
256,290.0,1023.0,444.0
257,291.0,1024.0,447.0
258,4379.0,1025.0,448.0
259,4380.0,1026.0,449.0
260,4381.0,1027.0,451.0
261,4382.0,1028.0,452.0
262,4385.0,1029.0,453.0
263,297.0,1030.0,454.0
264,298.0,1031.0,456.0
265,299.0,1032.0,457.0
266,300.0,1033.0,458.0
267,4388.0,1034.0,459.0
268,302.0,1035.0,460.0
269,303.0,1036.0,462.0
270,2351.0,1037.0,463.0
271,305.0,1038.0,464.0
272,4397.0,1039.0,465.0
273,307.0,1040.0,466.0
274,308.0,1041.0,467.0
275,4398.0,1042.0,468.0
276,4399.0,1043.0,469.0
277,4402.0,1044.0,471.0
278,312.0,1045.0,472.0
279,313.0,1046.0,473.0
280,2360.0,1047.0,474.0
281,315.0,1048.0,475.0
282,4405.0,1049.0,476.0
283,4414.0,1050.0,477.0
284,4415.0,1051.0,2520.0
285,321.0,1052.0,479.0
286,323.0,1053.0,480.0
287,2371.0,1054.0,2526.0
288,2373.0,1055.0,482.0
289,4421.0,1056.0,483.0
290,327.0,1057.0,484.0
291,4423.0,1058.0,485.0
292,330.0,1059.0,486.0
293,2378.0,1060.0,487.0
294,4428.0,1061.0,488.0
295,4429.0,1062.0,489.0
296,337.0,1063.0,490.0
297,345.0,1064.0,492.0
298,2394.0,1065.0,493.0
299,351.0,1067.0,494.0
300,356.0,1068.0,495.0
301,2412.0,1069.0,496.0
302,369.0,1070.0,497.0
303,373.0,1071.0,498.0
304,378.0,1072.0,2540.0
305,2426.0,1073.0,500.0
306,384.0,1074.0,501.0
307,2432.0,1075.0,504.0
308,2434.0,1076.0,506.0
309,391.0,1077.0,507.0
310,394.0,1078.0,508.0
311,395.0,1079.0,509.0
312,4149.0,1080.0,510.0
313,2457.0,1081.0,511.0
314,410.0,1082.0,512.0
315,414.0,1083.0,513.0
316,417.0,1084.0,514.0
317,418.0,1085.0,515.0
318,422.0,1086.0,516.0
319,426.0,1087.0,517.0
320,433.0,1088.0,518.0
