,0,1,2,3
0,2048.0,2.0,0.0,2049.0
1,2051.0,5.0,1.0,2050.0
2,2052.0,6.0,3.0,2054.0
3,2055.0,7.0,4.0,2056.0
4,2058.0,8.0,13.0,2057.0
5,2059.0,9.0,14.0,2061.0
6,2064.0,10.0,15.0,2062.0
7,2065.0,11.0,16.0,2063.0
8,2067.0,12.0,18.0,4111.0
9,2068.0,17.0,19.0,4112.0
10,2073.0,22.0,20.0,2066.0
11,2078.0,24.0,21.0,2069.0
12,2081.0,25.0,23.0,2070.0
13,36.0,26.0,29.0,2071.0
14,2084.0,27.0,34.0,2074.0
15,2087.0,28.0,39.0,2075.0
16,2091.0,2072.0,41.0,2077.0
17,49.0,30.0,45.0,2079.0
18,2105.0,31.0,47.0,2083.0
19,60.0,32.0,50.0,2086.0
20,61.0,33.0,57.0,2088.0
21,2109.0,4123.0,66.0,2089.0
22,2120.0,35.0,70.0,2090.0
23,2124.0,4125.0,72.0,2092.0
24,79.0,37.0,76.0,2093.0
25,90.0,38.0,86.0,2094.0
26,92.0,4135.0,95.0,2096.0
27,94.0,40.0,97.0,2097.0
28,100.0,4136.0,99.0,52.0
29,103.0,42.0,104.0,2100.0
30,106.0,43.0,111.0,2103.0
31,122.0,44.0,112.0,2104.0
32,123.0,4140.0,121.0,2106.0
33,127.0,46.0,125.0,2107.0
34,136.0,4142.0,128.0,2108.0
35,145.0,48.0,135.0,2110.0
36,148.0,4145.0,137.0,2111.0
37,151.0,51.0,152.0,64.0
38,159.0,2099.0,153.0,2112.0
39,168.0,53.0,158.0,2113.0
40,171.0,54.0,162.0,2114.0
41,175.0,55.0,163.0,68.0
42,176.0,56.0,164.0,2115.0
43,178.0,2101.0,165.0,2116.0
44,180.0,58.0,169.0,2117.0
45,183.0,59.0,170.0,2118.0
46,185.0,4149.0,177.0,2119.0
47,186.0,4152.0,182.0,2121.0
48,191.0,62.0,184.0,75.0
49,192.0,63.0,187.0,2122.0
50,193.0,4155.0,188.0,77.0
51,194.0,65.0,197.0,78.0
52,195.0,4157.0,212.0,2123.0
53,196.0,67.0,214.0,2125.0
54,198.0,4160.0,219.0,2127.0
55,200.0,69.0,220.0,2128.0
56,205.0,4162.0,222.0,2129.0
57,209.0,71.0,223.0,2130.0
58,210.0,4165.0,225.0,2131.0
59,211.0,73.0,233.0,2132.0
60,216.0,74.0,235.0,2133.0
61,217.0,4167.0,240.0,2134.0
62,224.0,4170.0,242.0,2135.0
63,227.0,80.0,252.0,2136.0
64,231.0,81.0,257.0,2137.0
65,232.0,82.0,287.0,2138.0
66,234.0,83.0,295.0,2139.0
67,238.0,84.0,304.0,2140.0
68,239.0,85.0,322.0,2141.0
69,243.0,4180.0,347.0,2142.0
70,245.0,87.0,350.0,2143.0
71,248.0,88.0,354.0,2144.0
72,249.0,89.0,357.0,2145.0
73,251.0,4182.0,362.0,2146.0
74,253.0,91.0,365.0,2147.0
75,260.0,4184.0,374.0,2148.0
76,261.0,93.0,382.0,2149.0
77,263.0,4185.0,386.0,124.0
78,264.0,4187.0,389.0,126.0
79,265.0,96.0,403.0,129.0
80,266.0,4188.0,408.0,131.0
81,4363.0,98.0,419.0,134.0
82,268.0,4189.0,427.0,166.0
83,270.0,4190.0,428.0,167.0
84,272.0,101.0,445.0,172.0
85,274.0,102.0,450.0,173.0
86,276.0,4191.0,475.0,179.0
87,277.0,2152.0,478.0,181.0
88,278.0,105.0,499.0,190.0
89,279.0,4194.0,502.0,199.0
90,4378.0,107.0,535.0,202.0
91,4379.0,108.0,538.0,203.0
92,285.0,109.0,562.0,204.0
93,286.0,110.0,570.0,206.0
94,4390.0,2155.0,572.0,207.0
95,297.0,4199.0,578.0,208.0
96,298.0,113.0,658.0,215.0
97,300.0,114.0,667.0,226.0
98,302.0,115.0,671.0,228.0
99,4399.0,116.0,672.0,229.0
100,305.0,117.0,673.0,230.0
101,307.0,118.0,674.0,236.0
102,4405.0,119.0,677.0,237.0
103,312.0,120.0,678.0,241.0
104,313.0,2161.0,679.0,244.0
105,4410.0,2162.0,680.0,247.0
106,315.0,2166.0,682.0,250.0
107,4414.0,2170.0,683.0,254.0
108,319.0,4214.0,691.0,255.0
109,323.0,2174.0,699.0,256.0
110,4421.0,4216.0,702.0,258.0
111,327.0,4218.0,704.0,259.0
112,4423.0,2177.0,706.0,267.0
113,329.0,130.0,707.0,269.0
114,330.0,4219.0,713.0,4367.0
115,4428.0,132.0,715.0,273.0
116,4429.0,133.0,718.0,275.0
117,4430.0,2180.0,719.0,280.0
118,356.0,2183.0,722.0,281.0
119,2412.0,2184.0,723.0,282.0
120,367.0,4225.0,724.0,283.0
121,373.0,138.0,725.0,284.0
122,378.0,139.0,726.0,288.0
123,2434.0,140.0,729.0,290.0
