,0,1,2,3,4
0,2049.0,0.0,1536.0,2.0,5.0
1,2052.0,3.0,1.0,1545.0,6.0
2,2054.0,4.0,2048.0,2058.0,7.0
3,2056.0,13.0,2050.0,1552.0,8.0
4,2057.0,14.0,2051.0,2039.0,9.0
5,2059.0,15.0,1541.0,1558.0,10.0
6,2061.0,16.0,1549.0,2073.0,11.0
7,2062.0,18.0,2065.0,1563.0,12.0
8,2063.0,19.0,1556.0,1570.0,17.0
9,2064.0,20.0,2068.0,1571.0,4116.0
10,4111.0,21.0,1559.0,36.0,22.0
11,2066.0,23.0,538.0,41.0,24.0
12,2067.0,29.0,2074.0,44.0,25.0
13,4112.0,34.0,2083.0,2099.0,26.0
14,2069.0,39.0,2088.0,53.0,27.0
15,2070.0,45.0,2089.0,2615.0,28.0
16,2071.0,47.0,2091.0,1592.0,4123.0
17,2075.0,50.0,1580.0,1595.0,30.0
18,2077.0,57.0,1581.0,60.0,31.0
19,2078.0,66.0,1582.0,1596.0,32.0
20,2079.0,70.0,2093.0,2619.0,33.0
21,2081.0,72.0,1584.0,2626.0,4125.0
22,2084.0,76.0,562.0,1609.0,35.0
23,2086.0,82.0,52.0,2634.0,4127.0
24,2090.0,83.0,2614.0,1612.0,37.0
25,2092.0,85.0,2104.0,2637.0,38.0
26,2094.0,86.0,570.0,1614.0,4132.0
27,2096.0,93.0,572.0,80.0,40.0
28,49.0,95.0,1600.0,2640.0,4134.0
29,2097.0,97.0,2114.0,1618.0,42.0
30,2100.0,99.0,1606.0,87.0,43.0
31,2103.0,104.0,1607.0,1623.0,4135.0
32,2105.0,111.0,2119.0,1624.0,4136.0
33,2106.0,112.0,2120.0,90.0,46.0
34,2107.0,117.0,588.0,2649.0,4140.0
35,2108.0,119.0,2124.0,92.0,48.0
36,61.0,121.0,78.0,4699.0,4142.0
37,2109.0,125.0,2129.0,94.0,4144.0
38,2110.0,128.0,2645.0,98.0,51.0
39,64.0,135.0,1622.0,1636.0,4145.0
40,2111.0,137.0,2650.0,1638.0,4146.0
41,2112.0,152.0,1629.0,103.0,54.0
42,2113.0,153.0,2141.0,3696.0,55.0
43,68.0,158.0,2654.0,113.0,56.0
44,2115.0,162.0,2144.0,4726.0,4149.0
45,2116.0,164.0,2655.0,122.0,58.0
46,2117.0,165.0,2660.0,123.0,59.0
47,2118.0,169.0,2662.0,127.0,4150.0
48,2121.0,170.0,106.0,1663.0,4152.0
49,2122.0,177.0,1643.0,132.0,62.0
50,75.0,182.0,2671.0,136.0,63.0
51,2123.0,183.0,1649.0,141.0,4155.0
52,77.0,184.0,1655.0,145.0,65.0
53,2125.0,188.0,124.0,1682.0,4157.0
54,79.0,197.0,131.0,148.0,67.0
55,2127.0,212.0,1672.0,3732.0,4160.0
56,2128.0,219.0,1674.0,151.0,69.0
57,2130.0,222.0,1677.0,159.0,4162.0
58,2131.0,223.0,1678.0,3745.0,71.0
59,2132.0,225.0,1680.0,168.0,4165.0
60,2133.0,245.0,1689.0,175.0,73.0
61,2134.0,252.0,163.0,176.0,74.0
62,2135.0,257.0,1700.0,1715.0,4166.0
63,2136.0,262.0,1705.0,1720.0,4167.0
64,2137.0,295.0,172.0,185.0,4170.0
65,2138.0,319.0,179.0,186.0,4174.0
66,2139.0,322.0,187.0,3770.0,81.0
67,2140.0,324.0,1741.0,189.0,84.0
68,2142.0,347.0,1743.0,191.0,4180.0
69,2143.0,350.0,1748.0,192.0,4181.0
70,2145.0,354.0,1239.0,195.0,4182.0
71,2146.0,357.0,1249.0,200.0,88.0
72,2147.0,362.0,1252.0,201.0,89.0
73,100.0,382.0,1258.0,1226.0,4184.0
74,2148.0,386.0,235.0,210.0,91.0
75,2149.0,389.0,242.0,3795.0,4185.0
76,126.0,402.0,1268.0,213.0,4187.0
77,4222.0,419.0,1270.0,4310.0,4188.0
78,129.0,450.0,1272.0,216.0,4189.0
79,134.0,499.0,1789.0,218.0,96.0
80,166.0,502.0,1790.0,221.0,4190.0
81,167.0,578.0,1791.0,3806.0,4191.0
82,171.0,667.0,1796.0,224.0,4194.0
83,173.0,671.0,781.0,227.0,4195.0
84,178.0,672.0,783.0,3812.0,101.0
85,180.0,673.0,273.0,234.0,102.0
86,181.0,674.0,279.0,1775.0,4196.0
87,190.0,677.0,1820.0,756.0,2152.0
