,0,1,2,3,4,5,6
0,0.0,2049.0,2048.0,2.0,2052.0,1.0,3586.0
1,3.0,2054.0,2050.0,8.0,1542.0,4097.0,2563.0
2,5.0,2056.0,2051.0,12.0,1544.0,4098.0,2564.0
3,6.0,2057.0,4.0,17.0,1545.0,4102.0,3590.0
4,7.0,2059.0,2053.0,1558.0,522.0,4103.0,2568.0
5,9.0,2061.0,4099.0,25.0,2058.0,4104.0,2569.0
6,10.0,2062.0,2055.0,26.0,1552.0,4105.0,2574.0
7,11.0,2063.0,4101.0,36.0,2039.0,4106.0,3605.0
8,13.0,2064.0,2060.0,38.0,2073.0,4107.0,2583.0
9,14.0,4111.0,2065.0,43.0,1563.0,4108.0,2585.0
10,15.0,2066.0,2068.0,44.0,1570.0,4110.0,2586.0
11,16.0,2067.0,2072.0,51.0,1571.0,18.0,27.0
12,19.0,4112.0,34.0,53.0,2084.0,2076.0,28.0
13,20.0,2069.0,2082.0,54.0,49.0,2080.0,2587.0
14,21.0,2070.0,2085.0,56.0,1588.0,45.0,30.0
15,22.0,2071.0,2087.0,58.0,2615.0,2095.0,3614.0
16,23.0,2074.0,2091.0,60.0,1592.0,66.0,3616.0
17,24.0,2075.0,46.0,61.0,1595.0,70.0,33.0
18,29.0,2077.0,2098.0,63.0,1596.0,76.0,3617.0
19,31.0,2078.0,2099.0,65.0,2109.0,77.0,3618.0
20,32.0,2079.0,2101.0,71.0,1598.0,2126.0,3621.0
21,35.0,2081.0,2102.0,73.0,2619.0,86.0,40.0
22,37.0,2083.0,82.0,81.0,2620.0,95.0,42.0
23,39.0,2086.0,83.0,87.0,1602.0,97.0,48.0
24,41.0,2088.0,85.0,88.0,2626.0,112.0,3637.0
25,47.0,2089.0,4088.0,89.0,1609.0,117.0,3642.0
26,50.0,2090.0,93.0,91.0,2634.0,119.0,3644.0
27,55.0,2092.0,98.0,92.0,1612.0,121.0,62.0
28,57.0,2093.0,99.0,4699.0,1614.0,4222.0,3647.0
29,59.0,2094.0,4090.0,101.0,80.0,128.0,67.0
30,72.0,2096.0,4091.0,102.0,2640.0,135.0,69.0
31,74.0,2097.0,104.0,103.0,1618.0,158.0,2629.0
32,96.0,52.0,125.0,105.0,1619.0,162.0,3656.0
33,111.0,2100.0,152.0,107.0,1623.0,163.0,3662.0
34,137.0,2103.0,2202.0,108.0,1624.0,164.0,3663.0
35,153.0,2104.0,169.0,109.0,2649.0,170.0,84.0
36,165.0,2105.0,183.0,110.0,90.0,172.0,3668.0
37,174.0,2106.0,184.0,113.0,94.0,177.0,4185.0
38,189.0,2107.0,188.0,114.0,100.0,182.0,4188.0
39,219.0,2108.0,197.0,115.0,1636.0,187.0,4191.0
40,295.0,2110.0,2285.0,116.0,1638.0,212.0,3681.0
41,671.0,2111.0,245.0,118.0,4726.0,214.0,3684.0
42,672.0,64.0,252.0,4214.0,1656.0,220.0,4196.0
43,673.0,2112.0,257.0,122.0,123.0,222.0,3686.0
44,674.0,2113.0,4359.0,130.0,127.0,223.0,3687.0
45,675.0,2114.0,4372.0,132.0,1663.0,225.0,1128.0
46,677.0,68.0,4373.0,133.0,1682.0,233.0,3690.0
47,678.0,2115.0,2326.0,136.0,4257.0,235.0,3692.0
48,679.0,2116.0,279.0,138.0,176.0,2286.0,4205.0
49,680.0,2117.0,4378.0,139.0,1715.0,240.0,3694.0
50,681.0,2118.0,4379.0,140.0,180.0,2289.0,3695.0
51,682.0,2119.0,4381.0,141.0,1720.0,242.0,3696.0
52,683.0,2120.0,2337.0,142.0,185.0,4340.0,4209.0
53,685.0,75.0,4385.0,143.0,186.0,2295.0,2162.0
54,686.0,2121.0,4388.0,144.0,191.0,255.0,4720.0
55,687.0,2122.0,4389.0,145.0,193.0,259.0,3703.0
56,688.0,78.0,4390.0,146.0,194.0,262.0,120.0
57,691.0,79.0,4395.0,147.0,195.0,2314.0,3714.0
58,693.0,2123.0,2349.0,148.0,200.0,4362.0,4228.0
59,694.0,2124.0,4398.0,149.0,1226.0,4366.0,3718.0
60,695.0,2125.0,4402.0,150.0,4302.0,4367.0,3719.0
61,696.0,2127.0,2358.0,151.0,210.0,4370.0,4233.0
62,698.0,2128.0,4408.0,154.0,213.0,4375.0,3724.0
63,699.0,2129.0,4410.0,155.0,216.0,2333.0,4241.0
64,701.0,2130.0,318.0,156.0,217.0,287.0,3732.0
65,702.0,2131.0,319.0,157.0,218.0,2336.0,4245.0
66,703.0,2132.0,4415.0,159.0,221.0,4384.0,3736.0
67,704.0,2133.0,4418.0,161.0,3806.0,4387.0,3740.0
68,705.0,2134.0,324.0,168.0,224.0,2341.0,160.0
69,706.0,2135.0,2374.0,175.0,227.0,4393.0,3745.0
