,0,1,2,3,4
0,5.0,1536.0,2.0,1.0,0.0
1,6.0,2048.0,1542.0,2049.0,3.0
2,7.0,2050.0,8.0,2052.0,4.0
3,9.0,2051.0,1544.0,2054.0,13.0
4,10.0,1541.0,522.0,2056.0,14.0
5,11.0,1543.0,1545.0,2057.0,15.0
6,12.0,1549.0,2058.0,2059.0,16.0
7,17.0,2064.0,1552.0,2061.0,18.0
8,19.0,2065.0,2039.0,2062.0,20.0
9,4116.0,2067.0,1558.0,2063.0,21.0
10,22.0,1556.0,2073.0,4111.0,23.0
11,24.0,2068.0,1563.0,4112.0,29.0
12,25.0,1559.0,1570.0,2066.0,34.0
13,26.0,1560.0,1571.0,2069.0,39.0
14,27.0,2074.0,36.0,2070.0,45.0
15,28.0,2075.0,41.0,2071.0,47.0
16,4123.0,2079.0,44.0,2077.0,50.0
17,30.0,2083.0,1588.0,2078.0,57.0
18,31.0,2086.0,53.0,2081.0,66.0
19,32.0,2088.0,2615.0,2084.0,70.0
20,33.0,2089.0,1592.0,2090.0,72.0
21,4125.0,2091.0,1595.0,2092.0,76.0
22,35.0,1580.0,60.0,2094.0,82.0
23,4127.0,1581.0,61.0,2096.0,83.0
24,37.0,2093.0,1596.0,49.0,85.0
25,38.0,1584.0,1598.0,2097.0,86.0
26,4132.0,52.0,2109.0,2100.0,93.0
27,40.0,2614.0,2619.0,2103.0,95.0
28,4134.0,2104.0,1602.0,2105.0,97.0
29,42.0,2107.0,2626.0,2106.0,98.0
30,43.0,2108.0,1609.0,2110.0,99.0
31,4135.0,575.0,2634.0,2111.0,104.0
32,4136.0,1600.0,1612.0,64.0,111.0
33,46.0,2113.0,2637.0,2112.0,112.0
34,4140.0,2114.0,1614.0,2115.0,117.0
35,48.0,2116.0,4687.0,68.0,119.0
36,4142.0,1605.0,80.0,2117.0,121.0
37,4144.0,1606.0,81.0,2118.0,125.0
38,51.0,1607.0,1618.0,2121.0,128.0
39,4145.0,2119.0,1619.0,2122.0,135.0
40,4146.0,2120.0,2640.0,75.0,137.0
41,54.0,2124.0,87.0,2123.0,152.0
42,55.0,1613.0,88.0,77.0,153.0
43,56.0,78.0,1623.0,2125.0,158.0
44,4149.0,1615.0,90.0,79.0,162.0
45,58.0,2127.0,1624.0,2128.0,164.0
46,59.0,2129.0,92.0,2130.0,165.0
47,4150.0,2133.0,2649.0,2131.0,169.0
48,4152.0,1622.0,94.0,2132.0,170.0
49,62.0,2645.0,4699.0,2134.0,177.0
50,63.0,2137.0,100.0,2135.0,182.0
51,4155.0,1626.0,1636.0,2136.0,183.0
52,65.0,1629.0,1638.0,2138.0,184.0
53,4156.0,2141.0,103.0,2139.0,188.0
54,67.0,2654.0,4202.0,2140.0,197.0
55,4157.0,2144.0,110.0,2142.0,212.0
56,69.0,2655.0,113.0,2143.0,219.0
57,4160.0,2656.0,4723.0,2145.0,222.0
58,71.0,1635.0,4214.0,2146.0,223.0
59,4162.0,2660.0,4726.0,2147.0,245.0
60,73.0,2662.0,1656.0,2148.0,252.0
61,74.0,1641.0,122.0,2149.0,257.0
62,4165.0,106.0,123.0,126.0,262.0
63,4166.0,1643.0,4222.0,129.0,279.0
64,4167.0,2671.0,127.0,134.0,295.0
65,4170.0,1649.0,1663.0,163.0,319.0
66,4174.0,1655.0,132.0,166.0,322.0
67,84.0,124.0,136.0,167.0,324.0
68,4180.0,131.0,138.0,171.0,347.0
69,4181.0,1672.0,141.0,172.0,350.0
70,4182.0,1674.0,143.0,173.0,354.0
71,4184.0,1677.0,144.0,178.0,357.0
72,89.0,1678.0,145.0,181.0,362.0
73,4185.0,1680.0,1682.0,187.0,386.0
