,0,1,2,3,4,5,6
0,3072.0,0.0,2052.0,3586.0,2048.0,896.0,2049.0
1,3074.0,1.0,2054.0,3590.0,2050.0,1409.0,2062.0
2,3079.0,3.0,2056.0,1544.0,2051.0,2.0,4111.0
3,3086.0,5.0,2057.0,2569.0,4.0,132.0,4112.0
4,3095.0,6.0,2059.0,12.0,2053.0,4228.0,2069.0
5,3097.0,7.0,2061.0,1552.0,4099.0,4358.0,2070.0
6,538.0,9.0,2063.0,17.0,2055.0,3847.0,2077.0
7,3100.0,10.0,2064.0,25.0,4101.0,8.0,2079.0
8,2083.0,11.0,2066.0,26.0,4104.0,136.0,2090.0
9,3109.0,13.0,2067.0,27.0,2060.0,2058.0,2092.0
10,3110.0,14.0,2071.0,1563.0,2065.0,1421.0,2096.0
11,2088.0,15.0,2073.0,2585.0,2068.0,142.0,2097.0
12,1581.0,16.0,2075.0,30.0,2072.0,144.0,52.0
13,562.0,18.0,2078.0,3614.0,2074.0,145.0,2100.0
14,2104.0,19.0,2081.0,3616.0,2076.0,1948.0,2106.0
15,570.0,20.0,2084.0,1570.0,2080.0,4380.0,2107.0
16,572.0,21.0,2086.0,1571.0,34.0,4257.0,2111.0
17,2108.0,22.0,2094.0,38.0,2082.0,36.0,2113.0
18,575.0,23.0,49.0,40.0,2085.0,4265.0,2115.0
19,2116.0,24.0,2103.0,42.0,2087.0,4397.0,68.0
20,1607.0,28.0,2105.0,43.0,2089.0,176.0,2117.0
21,2119.0,29.0,60.0,44.0,2091.0,53.0,2118.0
22,588.0,31.0,61.0,48.0,2093.0,185.0,2121.0
23,78.0,32.0,2109.0,51.0,46.0,313.0,2122.0
24,2127.0,33.0,2110.0,3637.0,2095.0,2619.0,75.0
25,2129.0,35.0,64.0,54.0,2098.0,195.0,2123.0
26,2133.0,37.0,2112.0,2615.0,2099.0,839.0,77.0
27,2137.0,39.0,79.0,56.0,2101.0,4295.0,2125.0
28,2141.0,41.0,2134.0,58.0,2102.0,201.0,2126.0
29,2144.0,45.0,90.0,1595.0,66.0,1609.0,2128.0
30,2662.0,47.0,92.0,1596.0,2114.0,3916.0,2130.0
31,2670.0,50.0,94.0,3642.0,70.0,80.0,2131.0
32,131.0,55.0,2145.0,62.0,2120.0,81.0,2132.0
33,163.0,57.0,100.0,63.0,76.0,1618.0,2135.0
34,172.0,59.0,103.0,3647.0,2124.0,87.0,2136.0
35,179.0,67.0,106.0,65.0,82.0,216.0,2138.0
36,187.0,69.0,123.0,2626.0,83.0,4315.0,2139.0
37,1213.0,72.0,148.0,71.0,85.0,2014.0,2140.0
38,197.0,74.0,151.0,3656.0,4088.0,4320.0,2142.0
39,1239.0,86.0,167.0,73.0,93.0,227.0,2143.0
40,1242.0,95.0,168.0,2634.0,98.0,873.0,2146.0
41,225.0,96.0,171.0,1612.0,99.0,108.0,2147.0
42,1249.0,97.0,173.0,1614.0,4090.0,4336.0,2148.0
43,1258.0,111.0,175.0,3662.0,4091.0,4214.0,2149.0
44,1268.0,112.0,178.0,3663.0,104.0,1527.0,124.0
