,0,1,2,3,4,5
0,2048.0,2049.0,0.0,2052.0,3.0,2.0
1,2050.0,2054.0,1.0,1542.0,5.0,1544.0
2,2051.0,2056.0,15.0,1545.0,6.0,1552.0
3,4.0,2057.0,16.0,522.0,7.0,1563.0
4,2053.0,2059.0,18.0,2058.0,8.0,1570.0
5,4099.0,2061.0,19.0,2039.0,9.0,36.0
6,2055.0,2062.0,20.0,1558.0,10.0,44.0
7,4100.0,2063.0,21.0,2073.0,11.0,53.0
8,4101.0,2064.0,29.0,1571.0,12.0,2615.0
9,4107.0,4111.0,41.0,2084.0,13.0,2626.0
10,2060.0,2066.0,45.0,49.0,14.0,2634.0
11,4109.0,2067.0,70.0,1588.0,17.0,1612.0
12,2065.0,4112.0,72.0,1592.0,22.0,81.0
13,2068.0,2069.0,77.0,1595.0,23.0,88.0
14,2072.0,2070.0,86.0,60.0,24.0,2649.0
15,2074.0,2071.0,95.0,61.0,25.0,4699.0
16,34.0,2075.0,97.0,1596.0,26.0,105.0
17,2082.0,2077.0,111.0,1598.0,27.0,110.0
18,2085.0,2078.0,112.0,2109.0,28.0,113.0
19,2087.0,2079.0,128.0,2619.0,30.0,115.0
20,2089.0,2081.0,137.0,2620.0,31.0,4726.0
21,2091.0,2083.0,153.0,1609.0,32.0,141.0
22,2093.0,2086.0,158.0,1614.0,33.0,143.0
23,46.0,2088.0,162.0,80.0,35.0,145.0
24,2098.0,2090.0,163.0,2640.0,37.0,148.0
25,2099.0,2092.0,165.0,1618.0,38.0,189.0
26,2101.0,2094.0,170.0,1619.0,39.0,2239.0
27,2102.0,2096.0,172.0,87.0,40.0,201.0
28,2111.0,2097.0,177.0,1623.0,42.0,218.0
29,66.0,52.0,182.0,1624.0,43.0,221.0
30,2114.0,2100.0,187.0,90.0,47.0,3806.0
31,2120.0,2103.0,204.0,92.0,48.0,3812.0
32,76.0,2104.0,212.0,94.0,50.0,3820.0
33,2124.0,2105.0,214.0,100.0,51.0,756.0
34,82.0,2106.0,220.0,1636.0,54.0,1273.0
35,83.0,2107.0,222.0,1638.0,55.0,766.0
36,85.0,2108.0,223.0,103.0,56.0,772.0
37,93.0,2110.0,225.0,4202.0,57.0,261.0
38,98.0,64.0,233.0,4214.0,58.0,262.0
39,99.0,2112.0,235.0,1656.0,59.0,271.0
40,4090.0,2113.0,237.0,122.0,62.0,793.0
41,4091.0,2115.0,240.0,127.0,63.0,794.0
42,104.0,68.0,242.0,132.0,65.0,4382.0
43,117.0,2116.0,255.0,136.0,67.0,805.0
44,119.0,2117.0,259.0,1682.0,69.0,807.0
45,121.0,2118.0,281.0,151.0,71.0,3881.0
46,123.0,2119.0,287.0,159.0,73.0,300.0
47,125.0,2121.0,292.0,168.0,74.0,815.0
48,135.0,2122.0,295.0,175.0,84.0,307.0
49,152.0,75.0,296.0,176.0,89.0,822.0
50,2202.0,2123.0,304.0,180.0,91.0,1334.0
51,164.0,2125.0,311.0,1720.0,96.0,313.0
52,169.0,78.0,322.0,185.0,101.0,2370.0
53,4274.0,79.0,339.0,186.0,102.0,327.0
54,183.0,2127.0,340.0,3770.0,107.0,2378.0
55,184.0,2128.0,346.0,191.0,108.0,854.0
56,188.0,2129.0,347.0,192.0,109.0,1369.0
57,2237.0,2130.0,354.0,193.0,114.0,1370.0
58,197.0,2131.0,357.0,194.0,116.0,2394.0
59,198.0,2132.0,362.0,195.0,118.0,2401.0
60,219.0,2133.0,365.0,200.0,120.0,866.0
61,2285.0,2134.0,370.0,210.0,130.0,873.0
62,245.0,2135.0,371.0,211.0,133.0,878.0
63,252.0,2136.0,374.0,1746.0,138.0,880.0
64,257.0,2137.0,382.0,213.0,139.0,2426.0
65,4356.0,2138.0,389.0,216.0,140.0,2434.0
66,4359.0,2139.0,390.0,217.0,142.0,395.0
67,4372.0,2140.0,403.0,224.0,144.0,2454.0
68,4373.0,2141.0,408.0,227.0,146.0,1946.0
69,2326.0,2142.0,419.0,232.0,147.0,1947.0
70,279.0,2143.0,427.0,234.0,149.0,1439.0
71,4378.0,2144.0,428.0,239.0,150.0,1959.0
72,4379.0,2145.0,441.0,1775.0,154.0,1964.0
73,4381.0,2146.0,445.0,251.0,155.0,1970.0
74,2336.0,2147.0,450.0,253.0,156.0,1980.0
75,2337.0,2148.0,459.0,3841.0,157.0,1985.0
76,4385.0,2149.0,470.0,260.0,160.0,1479.0
77,4386.0,106.0,475.0,4358.0,161.0,1484.0
78,4388.0,124.0,476.0,3847.0,174.0,2003.0
79,4389.0,126.0,478.0,4360.0,246.0,2022.0
80,4390.0,129.0,486.0,265.0,289.0,1513.0
81,2343.0,131.0,490.0,266.0,308.0,491.0
82,4392.0,134.0,497.0,4363.0,671.0,1521.0
83,2346.0,166.0,499.0,4365.0,673.0,505.0
84,4395.0,167.0,500.0,270.0,674.0,
85,301.0,171.0,502.0,276.0,675.0,
86,2349.0,173.0,503.0,3860.0,676.0,
87,4398.0,178.0,509.0,278.0,677.0,
88,4401.0,179.0,535.0,1816.0,678.0,
89,4402.0,181.0,538.0,285.0,679.0,
90,2355.0,190.0,560.0,298.0,681.0,
91,4404.0,196.0,562.0,1324.0,683.0,
92,2358.0,199.0,565.0,4397.0,684.0,
93,2359.0,202.0,566.0,4399.0,685.0,
94,4408.0,203.0,570.0,305.0,686.0,
95,4410.0,205.0,572.0,821.0,687.0,
96,2364.0,206.0,578.0,4405.0,688.0,
97,318.0,207.0,588.0,315.0,689.0,
98,319.0,208.0,591.0,4414.0,690.0,
99,4415.0,209.0,596.0,323.0,691.0,
100,4418.0,215.0,597.0,4421.0,692.0,
101,324.0,226.0,606.0,3916.0,693.0,
102,2373.0,228.0,614.0,1363.0,694.0,
103,2374.0,229.0,634.0,869.0,695.0,
104,4420.0,230.0,640.0,373.0,696.0,
105,4422.0,231.0,647.0,1399.0,698.0,
106,4424.0,236.0,650.0,892.0,700.0,
107,2380.0,238.0,658.0,896.0,701.0,
108,4428.0,241.0,659.0,1409.0,703.0,
109,4429.0,243.0,665.0,391.0,705.0,
110,4430.0,244.0,667.0,1415.0,706.0,
111,336.0,247.0,670.0,909.0,708.0,
112,2387.0,248.0,672.0,1421.0,709.0,
113,341.0,249.0,680.0,1435.0,710.0,
114,2392.0,250.0,682.0,1948.0,711.0,
115,2393.0,254.0,699.0,1437.0,712.0,
116,2396.0,256.0,702.0,414.0,714.0,
117,350.0,258.0,707.0,1438.0,715.0,
118,2398.0,263.0,713.0,1952.0,716.0,
119,2399.0,264.0,722.0,1953.0,717.0,
120,2403.0,267.0,723.0,1443.0,718.0,
121,364.0,268.0,725.0,1956.0,719.0,
122,2412.0,269.0,726.0,1455.0,720.0,
123,2415.0,272.0,732.0,1968.0,721.0,
124,2416.0,273.0,735.0,1459.0,728.0,
125,2418.0,274.0,742.0,1461.0,729.0,
126,2419.0,275.0,744.0,1462.0,730.0,
127,2421.0,277.0,747.0,440.0,733.0,
128,2423.0,280.0,748.0,1976.0,734.0,
129,2428.0,282.0,749.0,1979.0,737.0,
130,2429.0,283.0,757.0,1470.0,738.0,
131,2432.0,284.0,758.0,1984.0,739.0,
132,2433.0,286.0,759.0,1987.0,740.0,
133,386.0,288.0,760.0,1994.0,751.0,
134,2435.0,290.0,762.0,461.0,769.0,
135,2438.0,291.0,767.0,2000.0,771.0,
136,2440.0,293.0,768.0,2005.0,773.0,
137,2441.0,294.0,770.0,2006.0,775.0,
138,2444.0,297.0,774.0,2014.0,779.0,
139,2446.0,299.0,777.0,1503.0,784.0,
140,2449.0,302.0,778.0,1508.0,806.0,
141,402.0,303.0,786.0,2021.0,809.0,
142,2450.0,306.0,789.0,1512.0,818.0,
143,2451.0,309.0,790.0,2028.0,823.0,
144,2453.0,310.0,791.0,2035.0,830.0,
145,2456.0,312.0,797.0,2037.0,834.0,
146,2457.0,314.0,799.0,1527.0,839.0,
147,2464.0,316.0,801.0,1531.0,845.0,
148,2465.0,317.0,802.0,,851.0,
149,2474.0,320.0,803.0,,979.0,
150,2475.0,321.0,813.0,,980.0,
151,2479.0,325.0,826.0,,981.0,
152,2480.0,326.0,827.0,,982.0,
153,2483.0,4423.0,828.0,,983.0,
154,2487.0,328.0,829.0,,984.0,
155,2520.0,329.0,831.0,,985.0,
156,2526.0,330.0,838.0,,986.0,
157,2527.0,331.0,840.0,,987.0,
158,4576.0,332.0,844.0,,988.0,
159,2533.0,333.0,846.0,,989.0,
160,4586.0,334.0,849.0,,990.0,
161,2540.0,335.0,852.0,,991.0,
162,2541.0,337.0,858.0,,992.0,
163,4591.0,338.0,860.0,,993.0,
164,2545.0,342.0,862.0,,994.0,
165,4596.0,343.0,864.0,,995.0,
166,2550.0,344.0,865.0,,996.0,
