,0,1,2,3,4
0,2049.0,2.0,1536.0,5.0,0.0
1,2052.0,8.0,1.0,6.0,3.0
2,2054.0,1544.0,2048.0,7.0,4.0
3,2056.0,522.0,2050.0,9.0,13.0
4,2057.0,1545.0,2051.0,10.0,14.0
5,2059.0,12.0,1541.0,11.0,15.0
6,2061.0,2058.0,1549.0,17.0,16.0
7,2062.0,1552.0,2065.0,4116.0,18.0
8,2063.0,2039.0,2067.0,22.0,19.0
9,2064.0,1558.0,1556.0,24.0,20.0
10,4111.0,25.0,2068.0,27.0,21.0
11,2066.0,26.0,1559.0,28.0,23.0
12,4112.0,1563.0,1560.0,4123.0,29.0
13,2069.0,2073.0,2074.0,30.0,34.0
14,2070.0,1570.0,2083.0,31.0,39.0
15,2071.0,1571.0,2088.0,32.0,45.0
16,2075.0,36.0,2089.0,33.0,47.0
17,2077.0,43.0,2091.0,4125.0,50.0
18,2078.0,44.0,1580.0,35.0,57.0
19,2079.0,51.0,1581.0,4127.0,66.0
20,2081.0,2099.0,1582.0,37.0,70.0
21,2084.0,53.0,2093.0,38.0,72.0
22,2086.0,2615.0,1584.0,4132.0,76.0
23,2090.0,56.0,52.0,40.0,82.0
24,2092.0,1592.0,2614.0,41.0,83.0
25,2094.0,1595.0,2104.0,42.0,86.0
26,2096.0,60.0,1600.0,4134.0,93.0
27,49.0,1596.0,2114.0,4135.0,95.0
28,2097.0,2109.0,2116.0,4136.0,97.0
29,2100.0,63.0,1605.0,46.0,99.0
30,2103.0,2619.0,1606.0,4140.0,104.0
31,2105.0,1602.0,1607.0,48.0,111.0
32,2106.0,2626.0,2119.0,4142.0,112.0
33,2107.0,71.0,2120.0,4144.0,117.0
34,2108.0,73.0,2124.0,4145.0,121.0
35,61.0,1609.0,1613.0,4146.0,125.0
36,2110.0,2634.0,78.0,4149.0,128.0
37,2111.0,1612.0,1615.0,54.0,135.0
38,64.0,2637.0,2129.0,55.0,137.0
39,2112.0,1614.0,2645.0,4150.0,152.0
40,2113.0,80.0,1622.0,4152.0,153.0
41,2115.0,81.0,2137.0,58.0,158.0
42,68.0,1618.0,1626.0,59.0,162.0
43,2117.0,2640.0,2650.0,4155.0,164.0
44,2118.0,87.0,1629.0,4156.0,165.0
45,2121.0,88.0,2141.0,62.0,169.0
46,2122.0,89.0,2654.0,4157.0,170.0
